类别,百科名,百科内容
大学,二级学院,"<div class=""baikeArticle"">
							<p>　　二级学院不等于独立学院，因为以学院二字为后缀名的高校下属的任何一个学院都是二级学院，区别于学校名。有些人说的二级学院全应是""民办二级学院""。正式的叫法是独立学院!(更正：二级学院和独立学院之间还是有很大差别的，</p><p>　　比如说，长春大学外国语学院是长大的下属二级学院，但长春大学光华学院是长大的独立二级学院。所有大学中的下属学院都属于二级学院，并不全是独立学院，独立学院是指的那些具有民办性质的二级学院。</p><p>　　近年来，我国高等教育办学体制出现了一种新的办学形式，产生了一种新型的高校，名曰国有民办二级学院(也有学者称之为国有民营、公有民办二级学院。为讨论方便本文统称为国有民办二级学院)。</p><p>　　对国有民办二级学院的解释，目前存在多种多样的说法，有人认为""是指在原有的公立高校里，引入民营办学机制，实行国有民营的运作方式，显著特点是具有独立法人、独立校园和独立财务"";也有人认为是指""高等学校把某一相对独立的校园作为国有民办二级学院的创办基地，利用现有的教学资源特别是师资和信誉，或独立或利用部份社会投资设立国有民办二级学院。具有独立法人、独立办学、独立财务、独立校园等特征"";还有""是指普通高校创办的或附属于普通高校的、具有制度创新(包括学院的办学体制、管理体制、筹资体制等)和新的运行机制的独立二级学院""，等等说法，各不相同。</p>
							</div>"
大学,长江学者奖励计划,"<div class=""baikeArticle"">
							<p>　　长江学者奖励计划(Chang Jiang Scholars Program，原译为Cheung Kong Scholars Programme)是中华人民共和国教育部与香港李嘉诚基金会为提高中国高等学校学术地位，振兴中国高等教育，于1998年共同筹资设立的专项高层次人才计划，该计划包括实行特聘教授岗位制度和长江学者成就奖两项内容。为贯彻落实《国家中长期教育改革和发展规划纲要(2010-2020年)》和《国家中长期人才发展规划纲要(2010-2020年)》，教育部从2011年起实施新的长江学者奖励计划。</p>
							</div>"
大学,小211工程,"<div class=""baikeArticle"">
							<p>　　小211工程也就是中西部高校基础能力建设工程。为切实提升中西部高校办学能力，提高人才培养质量，促进中西部高等教育振兴和区域高等教育协调发展，使中西部一批普通本科高校的基础教学实验条件得到较大改善，师资队伍素质结构更加优化，学生学习、实践、就业和创新创业能力明显提升，学校办学特色逐步彰显，高等教育服务经济社会发展能力显著增强，发改委、教育部组织实施了中西部高校基础能力建设工程，涵盖地区达24个。</p><p>　　工程以五年为一个周期，计划支持中西部24个省、自治区、直辖市的100所左右地方普通本科高校，入选高校大多为一本高校。该工程以五年为一个周期，资金投入大，滚动实施，一期实施期限为2012-2015年，计划支持中西部24个省、自治区、直辖市的100所左右省属地方本科高校，这一工程既是国家整体推进高等教育区域发展的全局性考虑，也是国家特别针对中西部高校自身发展特点、发展阶段而考虑的战略决策。</p>
							</div>"
大学,国家重点学科名单,"<div class=""baikeArticle"">
							<p>　　目前，我国共有286个一级学科国家重点学科，677个二级学科国家重点学科，217个国家重点(培育)学科。</p><p>　　序号 国家重点（培育）学科名称     学校名称 <br></p><p>     1    武器系统与运用工程，中北大学</p><p>     2    亚非语言文学，北京大学</p><p>     3    矿物学、岩石学、矿床学</p><p>     4    儿少卫生与妇幼保健学</p><p>     5    流体机械及工程，北京航空航天大学</p><p>     6    高分子化学与物理，北京化工大学</p><p>     7    控制理论与控制工程，北京科技大学</p><p>     8    材料学，北京理工大学</p><p>     9    导航、制导与控制</p><p>     10   林业经济管理，北京林业大学</p><p>     11   世界经济，北京师范大学</p><p>     12   电影学</p><p>     13   日语语言文学，北京外国语大学</p><p>     14   外科学，清华大学</p><p>     15   矿物学、岩石学、矿床学，成都理工大学</p><p>     16   动力机械及工程，大连理工大学</p><p>     17   技术经济及管理</p>
							</div>"
大学,军事院校,"<div class=""baikeArticle"">
							<p>　　军事院校是军队所属的以培养军事人才为主要任务的学历教育院校和非学历教育院校的统称，包括综合型院校、指挥院校、工程技术院校、军事医学院校、士官学校等，其中指挥院校又分为高级指挥院校、中级指挥院校、初级指挥院校。军事院校是培养军事人才的主要场所，对于国防和军队建设具有十分重要的作用。</p>
							</div>"
大学,中外合作办学高校名单,"<div class=""baikeArticle"">
							<p>　　大学名称 所在省市 <br></p><p>　　立信国际，上海</p><p>　　上海中医药大学中药学院，上海</p><p>　　湖南大学国际教育学院，湖南郑州轻工业学院，国际教育学院，</p><p>　　河南吉林大学;</p><p>　　莱姆顿学院，吉林</p><p>　　郑州轻工业学院</p><p>　　易斯顿美术学院,河南</p><p>　　江南大学-莱姆顿学院江苏</p><p>　　立信国际,上海</p><p>　　上海应用技术学院泰尔弗学院,上海</p><p>　　中原工学院中外合作办学,河南</p><p>　　上海欧文经济学院,上海</p><p>　　锦江国际理诺士酒店管理学院,上海</p><p>　　北京北大资源研修学院,北京</p><p>　　北京服装学院莱佛士国际学院,北京</p><p>　　华东师范大学中澳班,上海</p><p>　　北京艾思蒙特高级时装艺术学校,北京</p><p>　　上海博华教育集团美国部,上海</p><p>　　天津商业大学宝德学院莱佛士设计学院,天津</p><p>　　上海大学ACCA国际项目,上海</p><p>　　立信CMA考试培训美国注册管理会计师,上海</p><p>　　中山大学翻译学院,广东</p>
							</div>"
大学,在内地招生的香港高校,"<div class=""baikeArticle"">
							<p>　　香港大学、香港中文大学、香港理工大学、香港科技大学、香港城市大学、香港浸会大学、岭南大学、香港教育学院、香港公开大学、香港演艺学院、香港树仁大学、珠海学院、香港高等科技教育学院.</p>
							</div>"
大学,2013年全国高校更名名单,"<div class=""baikeArticle"">
							<p>　　院校原名称 院校现名称 <br></p><p>　　上海对外贸易学院，上海对外经贸大学</p><p>　　武汉商业服务学院，武汉商学院</p><p>　　信阳农业高等专科学校，信阳农林学院</p><p>　　河南商业高等学校，河南牧业经济学院</p><p>　　山东省农业管理干部学院，山东农业工程学院</p><p>　　山东省工会管理干部学院，山东管理学院</p><p>　　江西教育学院，南昌师范学院</p><p>　　萍乡高等专科学校，萍乡学院</p><p>　　广州医学院，广州医科大学</p><p>　　景德镇高等专科学校，景德镇学院</p><p>　　武汉工业学院，武汉轻工大学</p><p>　　浙江水利水电专科学校，浙江水利水电学院</p><p>　　华北水利水电学院，华北水利水电大学</p><p>　　山东轻工业学院，齐鲁工业大学</p><p>　　江西中医学院，江西中医药大学</p><p>　　江苏教育学院，江苏第二师范学院</p><p>　　漳州师范学院，闽南师范大学</p><p>　　泰州师范高等专科学校，泰州学院</p><p>　　安徽建筑工业学院，安徽建筑大学</p><p>　　安徽中医学院，安徽中医药大学</p><p>　　浙江财经学院，浙江财经大学</p><p>　　温州医学院，温州医科大学</p><p>　　鸡西大学（专科），黑龙江工业学院</p><p>　　黑龙江科技学院，黑龙江科技大学</p><p>　　营口大学园（资源），营口理工学院</p><p>　　长春师范学院，长春师范大学</p><p>　　广播电视管理干部学院，山西传媒学院</p><p>　　吉林建筑工程学院，吉林建筑大学</p><p>　　太原大学（专科），太原学院</p><p>　　大连外国语学院，大连外国语大学</p><p>　　天津城市建设学院，天津城建大学</p><p>　　张家口教育学院，张家口学院</p><p>　　北京建筑工程学院，北京建筑大学</p><p>　　河北中医药研究院，河北中医学院</p><p>　　铁道警官高等专科学校，铁道警察学院</p><p>　　长沙师范学校（专科），长沙师范学院</p><p>　　广州航海高等专科学校，广州航海学院</p>
							</div>"
大学,民办本科高校,"<div class=""baikeArticle"">
							<p>　　民办本科和公办本科只存在办学性质不一样，学历证书都统一由国家教育部颁发，学校无权颁发学历证书，其本科毕业证和学士学位证书都可以在教育部网站查实。</p>
							</div>"
大学,小211工程院校名单,"<div class=""baikeArticle"">
							<p>　　【东北地区】12所 黑龙江（4所）东北石油大学，黑龙江大学，哈尔滨理工大学，哈尔滨科大学；吉林（4所）北华大学，东北电力大学，吉林农业大学，长春理工大学；辽宁（4所）中国医科大学，东北财经大学，辽宁工程技术大学，沈阳农业大学</p><p>　　【华北地区】15所 河北（7所）燕山大学，河北大学，河北师范大学，石家庄铁道大学，河北工业大学，河北农业大学，河北工程大学；山西（5所）中北大学，山西大学，山西农业大学，山西师范大学，太原科技大学；内蒙古（3所）内蒙古农业大学，内蒙古工业大学，内蒙古师范大学</p><p>　　【华东地区】10所 安徽（6所）安徽农业大学，安徽理工大学，安徽工业大学，安徽医科大学，安徽财经大学，安徽师范大学；江西（4所）南昌大学，江西农业大学，江西财经大学，江西师范大学</p><p>　　【华中地区】19所 河南（7所）河南大学，河南农业大学，河南理工大学，河南工业大学，河南师范大学，华北水利水电学院，河南中医学院；湖北（6所）湖北大学，湖北工业大学，武汉科技大学，武汉工程大学，武汉纺织大学，长江大学；湖南（6所）湘潭大学，中南林业科技大学，湖南农业大学，湖南师范大学，长沙理工大学，吉首大学</p><p>　　【华南地区】8所 福建（3所）华侨大学，集美大学，福建师范大学；广西（4所）广西医科大学，广西师范大学，桂林理工大学，桂林电子科技大学，海南（1所）海南大学</p><p>　　【西北地区】17所 陕西（5所）西北大学，陕西科技大学，西安科技大学，西安理工大学，西安建筑科技大学；甘肃（4所）西北师范大学，甘肃农业大学，兰州理工大学，兰州交通大学；宁夏（1所）宁夏医科大学；青海（2所）青海师范大学，青海民族大学； 新疆（5所）新疆大学，新疆农业大学，新疆师范大学，新疆艺术学院，喀什师范学院</p><p>　　【西南地区】19所 重庆（3所）重庆邮电大学，西南政法大学，重庆交通大学；四川（7所）成都理工大学，四川农业大学，西南科技大学，西南石油大学，四川师范大学，成都信息工程学院，四川理工学院；贵州（4所）贵州师范大学，贵州财经大学，贵州民族大学，贵州理工学院；云南（4所）云南农业大学，云南师范大学，云南财经大学，昆明理工大学；西藏（1所）西藏大学</p>
							</div>"
